datetime,requests_num,message
2021-05-17 15:33:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.074767'
2021-05-17 15:33:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:33:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:33:15,5,b'Response Time http://www.google.com/sss: 0:00:00.035093'
2021-05-17 15:33:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:34:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:34:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.082441'
2021-05-17 15:34:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:34:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:34:15,5,b'Response Time http://www.google.com/sss: 0:00:00.029253'
2021-05-17 15:34:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:35:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:35:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.111181'
2021-05-17 15:35:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:35:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:35:15,5,b'Response Time http://www.google.com/sss: 0:00:00.033457'
2021-05-17 15:35:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:36:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:36:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.077283'
2021-05-17 15:36:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:36:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:36:15,5,b'Response Time http://www.google.com/sss: 0:00:00.036328'
2021-05-17 15:36:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:37:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:37:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.121646'
2021-05-17 15:37:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:37:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:37:15,5,b'Response Time http://www.google.com/sss: 0:00:00.033358'
2021-05-17 15:37:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:38:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:38:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.073767'
2021-05-17 15:38:14,3,b'The regular expression "d*v" was found in the page body from https://www.w3schools.com/'
2021-05-17 15:38:14,4,b'Status Code http://www.google.com/sss: 404'
2021-05-17 15:38:15,5,b'Response Time http://www.google.com/sss: 0:00:00.030479'
2021-05-17 15:38:15,6,b'The regular expression "super" was not found in the page body from http://www.google.com/sss'
2021-05-17 15:39:14,1,b'Status Code https://www.w3schools.com/: 200'
2021-05-17 15:39:14,2,b'Response Time https://www.w3schools.com/: 0:00:00.082458'
